order_id,review_score,sentiment_negative_proba,aspect_delivery,aspect_seller_service,aspect_product_quality,aspect_completeness,aspect_expectation_match,aspect_packaging,aspect_price_value
658677c97b385a9be170737859d3511b,5,-1.393361631441448,True,False,False,False,False,False,False
8e6bfb81e283fa7e4f11123a3fb894f1,5,-2.4311830458191674,False,True,False,False,False,False,False
b9bf720beb4ab3728760088589c62129,4,-0.006444107242572633,False,True,False,False,False,False,False
9d6f15f95d01e79bd1349cc208361f09,4,-1.226879537271651,False,False,False,False,False,False,True
e51478e7e277a83743b6f9991dbfa3fb,5,-1.5411725573458233,True,True,False,False,False,False,False
0dacf04c5ad59fd5a0cc1faa07c34e39,2,0.7972071538300513,True,False,False,False,False,False,False
583174fbe37d3d5f0d6661be3aad1786,1,,False,False,True,False,False,False,False
4fc44d78867142c627497b60a7e0228a,5,-0.9184654777868743,False,True,False,False,False,False,False
79832b7cb59ac6f887088ffd686e1d5e,5,-0.9674137721352487,False,False,False,False,False,False,False
2ca73e2ff9e3a186ad1e1ffb9b1d9c10,5,-0.269257994058841,True,False,False,False,False,False,False
68b3cbc68e4cd1fe19bec35f1d3bb7ee,5,-1.0366369830041506,False,False,False,False,False,False,True
0ce9a24111d850192a933fcaab6fbad3,1,1.0086177445986468,False,False,False,False,False,False,False
68e55ca79d04a79f20d4bfc0146f4b66,1,0.6127900534594096,True,False,False,True,False,False,False
37e7875cdce5a9e5b3a692971f370151,4,-0.967686076555634,True,True,False,False,True,False,False
e029f708df3cc108b3264558771605c6,5,,False,False,False,False,False,False,False
af32671d0b8ce510a94d9111d97371d3,5,-1.947505551990444,False,False,False,False,False,False,False
e2e6ee1ed2d7f2f36b05d234983bd7a0,5,-0.844018865662374,False,True,False,False,False,False,False
3c314f50bc654f3c4e317b055681dff9,1,0.8217869036687407,False,False,False,False,False,False,False
a6456e781cb962cc3f412b04de4fed7b,5,-0.7891436608811162,False,False,False,False,False,False,False
b3271f5ebce80cbecb67c5b88487a44a,5,-1.6030842332056152,True,True,False,False,False,False,False
dfa48852c93427261c98fb2e01f33bea,5,-1.6456652380252441,False,False,False,False,False,False,False
9562b424b05978a493db2a5122ecab1f,5,-0.5536232845859276,False,False,False,False,False,False,False
548df2c6e5f089574614894bca78acf5,1,0.6062915321837382,True,False,False,True,False,False,False
4d483bf690ca21bdc005df9b623673c7,5,,False,False,False,False,False,False,False
8a9424899aac432d80d8e580932b5ee9,5,-1.6241829544705695,False,False,False,False,False,False,False
32638fbca8d1a197e649fd5138e12049,5,-1.3681985080104,True,False,False,False,False,False,False
